Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Language
Blue Mountain State,2010,18+,8.3,,True,False,False,False,True,English
Pokémon,1997,7+,7.5,,True,True,True,False,True,Japanese
Cheers,1982,7+,7.8,,True,True,True,False,True,English
Marianne,2019,18+,7.5,93%,True,False,False,False,True,French
Star Trek: Enterprise,2001,7+,7.5,50%,True,True,True,False,True,English
Portlandia,2011,16+,7.8,94%,True,False,False,False,True,English
Better Than Us,2018,,7.4,100%,True,False,False,False,True,[]
Five Came Back,2017,16+,8.3,97%,True,False,False,False,True,English
American Crime,2015,16+,7.8,97%,True,False,False,False,True,[]
Skins,2007,18+,8.2,,True,False,False,False,True,English
Glitch,2015,16+,7.4,80%,True,False,False,False,True,English
GHOUL,2018,18+,7.1,83%,True,False,False,False,True,Hindi
JoJo's Bizarre Adventure,2012,18+,8.4,,True,True,False,False,True,Japanese
The Society,2019,18+,7.0,85%,True,False,False,False,True,English
Code Geass: Lelouch of the Rebellion,2006,18+,8.6,,True,False,False,False,True,[]
Dracula,2020,18+,6.8,74%,True,False,False,False,True,English
Quantico,2015,16+,6.7,82%,True,False,False,False,True,English
The Innocence Files,2020,,8.0,100%,True,False,False,False,True,English
Medici: Masters of Florence,2016,7+,7.9,,True,False,False,False,True,[]
She-Ra and the Princesses of Power,2018,all,7.3,97%,True,False,False,False,True,English
Versailles,2015,16+,7.9,66%,True,False,False,False,True,English
Rise of Empires: Ottoman,2020,18+,8.0,,True,False,False,False,True,English
The Mechanism,2018,16+,8.4,80%,True,False,False,False,True,[]
Everything Sucks!,2018,16+,7.5,72%,True,False,False,False,True,English
Raising Dion,2019,7+,7.2,82%,True,False,False,False,True,English
All American,2018,16+,7.7,96%,True,False,False,False,True,English
Fullmetal Alchemist,2003,16+,8.6,,True,False,False,False,True,Japanese
The Rain,2018,18+,6.3,82%,True,False,False,False,True,Danish
ERASED,2016,16+,8.5,,True,True,False,False,True,Japanese
Nailed It!,2018,7+,7.4,98%,True,False,False,False,True,English
Last Tango in Halifax,2012,16+,8.3,98%,True,False,False,False,True,English
Star-Crossed,2014,16+,7.3,57%,True,False,False,False,True,English
The Politician,2019,16+,7.5,57%,True,False,False,False,True,English
Documentary Now!,2015,18+,8.1,94%,True,False,False,False,True,English
Baby,2018,18+,6.8,80%,True,False,False,False,True,[]
Secret City,2016,16+,7.4,100%,True,False,False,False,True,English
Abstract: The Art of Design,2017,16+,8.4,100%,True,False,False,False,True,English
Shooter,2016,16+,7.5,44%,True,False,False,False,True,English
Marcella,2016,18+,7.4,65%,True,False,False,False,True,English
The Chef Show,2019,18+,8.2,100%,True,False,False,False,True,English
Rurouni Kenshin,1996,16+,8.5,,True,True,True,False,True,Japanese
The Seven Deadly Sins,2014,16+,8.1,,True,False,False,False,True,Japanese
InuYasha,2000,16+,7.9,,True,True,False,False,True,Japanese
Yeh Meri Family,2018,,9.2,,True,False,False,False,True,Hindi
The Circle,2020,18+,7.5,80%,True,False,False,False,True,English
The Devil Next Door,2019,18+,7.6,91%,True,False,False,False,True,English
Flowers,2016,,8.2,100%,True,False,False,False,True,English
Descendants of the Sun,2016,16+,8.4,,True,True,True,False,True,Korean
The Hollow,2018,7+,7.2,100%,True,False,False,False,True,English
Frontier,2016,18+,7.2,75%,True,False,False,False,True,English
Your Lie in April,2014,7+,8.6,,True,True,False,False,True,[]
Ancient Aliens,2010,7+,7.3,,True,True,True,False,True,English
Sword Art Online,2012,16+,7.6,,True,True,False,False,True,English
Frequency,2016,7+,7.5,77%,True,False,False,False,True,English
Wentworth,2013,18+,8.6,,True,False,False,False,True,English
Beauty and the Beast,2012,16+,7.0,51%,True,False,True,False,True,English
Cold Justice,2013,16+,7.9,80%,True,False,False,False,True,English
Hyperdrive,2019,7+,8.1,100%,True,False,False,False,True,English
Time: The Kalief Browder Story,2017,16+,8.5,100%,True,False,False,False,True,English
The Toys That Made Us,2017,16+,8.1,100%,True,False,False,False,True,English
Seven Seconds,2018,18+,7.7,77%,True,False,False,False,True,English
Spinning Out,2020,18+,7.7,63%,True,False,False,False,True,English
Killer Inside: The Mind of Aaron Hernandez,2020,18+,7.4,75%,True,False,False,False,True,English
El internado,2007,7+,8.2,,True,False,False,False,True,[]
Frozen Planet,2011,all,9.0,,True,False,False,False,True,English
London Spy,2015,18+,7.5,86%,True,False,False,False,True,English
Parasyte -the maxim-,2014,18+,8.4,,True,True,False,False,True,[]
Containment,2016,16+,7.2,50%,True,False,False,False,True,English
Black Lightning,2018,16+,6.1,95%,True,False,False,False,True,English
Merlí,2015,16+,8.6,,True,False,False,False,True,Catalan
Derek,2013,16+,8.0,68%,True,False,False,False,True,English
Last Chance U,2016,16+,8.5,93%,True,False,False,False,True,English
Mars,2016,7+,7.5,61%,True,False,False,False,True,[]
Love is Blind,2020,7+,6.0,73%,True,False,False,False,True,[]
Love 101,2020,18+,7.7,,True,False,False,False,True,Turkish
3%,2016,7+,7.4,33%,True,False,False,False,True,Portuguese
Zoo,2015,16+,6.8,82%,True,False,False,False,True,English
Daybreak,2019,18+,6.7,70%,True,False,False,False,True,English
Hemlock Grove,2013,18+,7.1,38%,True,False,False,False,True,English
Trailer Park Boys,2001,18+,8.4,,True,False,False,False,True,English
Private Practice,2007,16+,6.6,51%,True,True,False,False,True,English
Ragnarok,2020,18+,7.5,,True,False,False,False,True,Norwegian
Akame ga Kill!,2014,18+,7.9,,True,True,False,False,True,[]
Insatiable,2018,16+,6.6,11%,True,False,False,False,True,English
No Tomorrow,2016,7+,7.2,88%,True,False,False,False,True,English
The Ranch,2016,16+,7.5,,True,False,False,False,True,English
Ramayan,1987,all,9.3,,True,False,False,False,True,[]
Surviving R. Kelly,2019,18+,7.6,95%,True,False,False,False,True,English
Easy,2016,18+,6.9,90%,True,False,False,False,True,English
