Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Actors
How to Get Away with Murder,2014,16+,8.1,88%,True,True,False,False,True,"['Viola Davis', 'Billy Brown', 'Jack Falahee', 'Aja Naomi King', 'Charlie Weber', 'Liza Weil', 'Matt McGorry', 'Conrad Ricamora', 'Karla Souza', 'Alfred Enoch', 'Amirah Vann', 'Rome Flynn', 'Katie Findlay', 'Timothy Hutton']"
After Life,2019,18+,8.5,70%,True,False,False,False,True,"['Ricky Gervais', 'Ashley Jensen', 'Tom Basden', 'Tony Way', 'Kerry Godliman', 'Diane Morgan', 'Mandeep Dhillon', 'David Bradley', 'Penelope Wilton']"
Elite,2018,18+,7.6,97%,True,False,False,False,True,[]
BoJack Horseman,2014,18+,8.7,93%,True,False,False,False,True,"['Will Arnett', 'Alison Brie', 'Paul F. Tompkins', 'Amy Sedaris', 'Aaron Paul']"
Never Have I Ever,2020,16+,8.0,97%,True,False,False,False,True,"['Maitreyi Ramakrishnan', 'Darren Barnet', 'Poorna Jagannathan', 'John McEnroe', 'Richa Moorjani', 'Jaren Lewison']"
Penny Dreadful,2014,18+,8.2,91%,True,False,False,False,True,"['Timothy Dalton', 'Eva Green', 'Harry Treadaway', 'Josh Hartnett', 'Rory Kinnear', 'Billie Piper', 'Reeve Carney', 'Danny Sapani', 'Simon Russell Beale', 'Helen McCrory', 'Patti LuPone', 'Wes Studi']"
Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,94%,True,False,False,False,True,"['Elizabeth Henstridge', 'Chloe Bennet', 'Ming-Na Wen', 'Clark Gregg', 'Iain De Caestecker', 'Henry Simmons', 'Natalia Cordova-Buckley', 'Brett Dalton', 'Jeff Ward', 'Nick Blood', 'Adrianne Palicki', 'Luke Mitchell', 'John Hannah', 'Clark Gregg']"
Dead to Me,2019,18+,8.1,91%,True,False,False,False,True,"['Christina Applegate', 'Linda Cardellini', 'Sam McCarthy', 'Luke Roessler', 'Max Jenkins', 'James Marsden', 'James Marsden']"
Unorthodox,2020,18+,8.1,94%,True,False,False,False,True,"['Shira Haas', 'Jeff Wilbusch', 'Amit Rahav']"
Sense8,2015,18+,8.3,86%,True,False,False,False,True,"['Jamie Clayton', 'Max Riemelt', 'Brian J. Smith', 'Tuppence Middleton', 'Aml Ameen', 'Toby Onwumere', 'Bae Doo Na', 'Miguel Ángel Silvestre', 'Tina Desai', 'Daryl Hannah', 'Freema Agyeman', 'Terrence Mann', 'Naveen Andrews', 'Anupam Kher']"
Sacred Games,2018,18+,8.7,92%,True,False,False,False,True,"['Neeraj Kabi', 'Saif Ali Khan', 'Nawazuddin Siddiqui', 'Radhika Apte']"
American Crime Story,2016,18+,8.4,93%,True,False,False,False,True,"['Courtney B. Vance', 'Cuba Gooding, Jr.', 'David Schwimmer', 'John Travolta', 'Sarah Paulson', 'Sterling K. Brown', 'Bruce Greenwood', 'Darren Criss', 'Nathan Lane', 'Kenneth Choi', 'Édgar Ramírez', 'Christian Clemenson', 'Ricky Martin', 'Penelope Cruz', 'Sarah Paulson', 'Beanie Feldstein', 'Annaleigh Ashford', 'Billy Eichner', 'Clive Owen']"
Family Guy,1999,18+,8.1,71%,True,True,False,False,True,"['Lacey Chabert', 'Mila Kunis', 'Alex Borstein', 'Seth Green', 'Seth MacFarlane', 'Arif Zahir', 'Mike Henry', 'Seth MacFarlane', 'Patrick Warburton', 'Seth MacFarlane', 'Seth MacFarlane', 'Seth MacFarlane', 'Jennifer Tilly', 'Johnny Brennan', 'Seth MacFarlane', 'Alex Borstein', 'Christine Lakin', 'Seth MacFarlane']"
Pretty Little Liars,2010,16+,7.4,81%,True,True,False,False,True,"['Troian Bellisario', 'Lucy Hale', 'Shay Mitchell', 'Ashley Benson', 'Ian Harding', 'Tyler Blackburn', 'Janel Parrish', 'Sasha Pieterse', 'Laura Leighton', 'Holly Marie Combs', 'Chad Lowe', 'Bianca Lawson', 'Andrea Parker']"
Unbelievable,2019,18+,8.4,97%,True,False,False,False,True,"['Kaitlyn Dever', 'Toni Collette', 'Merritt Wever']"
Arrow,2012,16+,7.6,85%,True,False,False,False,True,"['Stephen Amell', 'David Ramsey', 'Emily Bett Rickards', 'Willa Holland', 'Paul Blackthorne', 'Katie Cassidy', 'Echo Kellum', 'Colton Haynes', 'Rick Gonzalez', 'Juliana Harkavy', 'John Barrowman', 'Katie Cassidy', 'Susanna Thompson', 'Manu Bennett', 'Colin Donnell', 'Kirk Acevedo', 'Josh Segarra', 'Ben Lewis', 'Katherine McNamara', 'Joseph David-Jones', 'Sea Shimooka', 'LaMonica Garrett', 'Rick Gonzalez', 'Juliana Harkavy', 'LaMonica Garrett']"
The IT Crowd,2006,16+,8.5,87%,True,False,False,False,True,"[""Chris O'Dowd"", 'Richard Ayoade', 'Katherine Parkinson', 'Matt Berry']"
The Twilight Zone,1959,7+,9.0,82%,True,True,False,False,True,['Jordan Peele']
