Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Genres
Into the Badlands,2015,16+,8,83%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Adventure']"
Monty Python's Flying Circus,1969,16+,8.8,100%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Jane the Virgin,2014,7+,7.8,100%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Romance']"
Halt and Catch Fire,2014,16+,8.4,90%,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
Grace and Frankie,2015,7+,8.3,89%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
NCIS,2003,16+,7.8,40%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
Weeds,2005,18+,7.9,70%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Crime']"
GLOW,2017,18+,8,93%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Sports']"
Person of Interest,2011,16+,8.4,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Crime', 'Science-Fiction']"
13 Reasons Why,2017,18+,7.8,39%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Thriller', 'Mystery']"
Godless,2017,16+,8.3,85%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Western']"
Locked Up,2015,16+,8.3,100%,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Mushi-Shi,2005,16+,8.5,100%,TRUE,TRUE,TRUE,FALSE,TRUE,"['Drama', 'Anime', 'Fantasy']"
Gossip Girl,2008,16+,7.4,84%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance']"
Unbreakable Kimmy Schmidt,2015,16+,7.6,96%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Lost in Space,2018,7+,7.3,75%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Science-Fiction']"
Scandal,2012,16+,7.7,93%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Thriller']"
Hunter x Hunter,2011,16+,8.9,,TRUE,TRUE,FALSE,FALSE,TRUE,"['Action', 'Adventure', 'Anime', 'Fantasy']"
One Day at a Time,2017,7+,8.2,99%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Family']"
DC's Legends of Tomorrow,2016,16+,6.8,87%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Science-Fiction']"
Manhunt,2017,16+,8.1,93%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime']"
Naruto,2002,7+,8.3,,TRUE,TRUE,FALSE,FALSE,TRUE,"['Action', 'Adventure', 'Anime', 'Fantasy']"
Charmed,1998,16+,7.1,75%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Mystery', 'Supernatural']"
The Dragon Prince,2018,7+,8.4,100%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Adventure', 'Fantasy']"
Locke & Key,2020,16+,7.4,67%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Fantasy', 'Mystery']"
Alias Grace,2017,18+,7.8,99%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Thriller']"
American Vandal,2017,16+,8.2,97%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Crime']"
Santa Clarita Diet,2017,18+,7.8,89%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Horror']"
Maniac,2018,16+,7.8,85%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Science-Fiction']"
Star Trek: Deep Space Nine,1993,7+,7.9,90%,TRUE,TRUE,TRUE,FALSE,TRUE,"['Action', 'Adventure', 'Science-Fiction']"
The Dark Crystal: Age of Resistance,2019,7+,8.5,87%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Adventure', 'Fantasy']"
Colony,2016,16+,7.4,92%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Science-Fiction']"
Wild Wild Country,2018,16+,8.2,98%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Crime', 'History']"
Rectify,2013,16+,8.3,95%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime']"
Pose,2018,16+,8.6,96%,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
Marvel's Luke Cage,2016,18+,7.3,87%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Crime', 'Science-Fiction']"
Hollywood,2020,18+,7.7,57%,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
Derry Girls,2018,16+,8.4,97%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Dark Matter,2015,18+,7.5,89%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Adventure', 'Science-Fiction']"
On My Block,2018,16+,8.1,97%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Crime']"
Law & Order: Special Victims Unit,1999,16+,8,,TRUE,TRUE,TRUE,FALSE,TRUE,"['Drama', 'Crime']"
Longmire,2012,16+,8.3,88%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Thriller', 'Western']"
The Tudors,2007,18+,8.1,69%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'History']"
HAPPY!,2017,18+,8.2,84%,TRUE,FALSE,FALSE,FALSE,TRUE,[]
The Stranger,2020,16+,7.3,89%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Thriller']"
Call the Midwife,2012,7+,8.4,89%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Medical']"
Into the Night,2020,18+,7.2,83%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Science-Fiction', 'Thriller']"
Mystery Science Theater 3000,1988,7+,8.5,80%,TRUE,TRUE,FALSE,FALSE,TRUE,"['Comedy', 'Science-Fiction']"
Resurrection: Ertugrul,2014,16+,7.7,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
The Inbetweeners,2008,18+,8.4,54%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Reign,2013,16+,7.5,86%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance', 'History']"
Extras,2005,16+,8.3,89%,TRUE,FALSE,TRUE,FALSE,TRUE,['Comedy']
The Kominsky Method,2018,18+,8.2,90%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy']"
